,cid,did
4620,539,3485
4621,4133,3486
680,5508,3487
681,12546,3487
4622,5575,3487
4623,513,3490
4624,435,3491
4625,8029,3492
4626,3173,3493
4627,12076,3494
682,6068,3495
4628,5420,3495
4629,2997,3497
4630,13397,3498
683,1186,3499
4631,942,3499
4632,20561,3501
4633,12010,3502
4634,14705,3503
684,2089,3504
4635,12059,3504
4636,24986,3506
4637,12212,3507
4638,8029,3508
4639,13023,3509
4640,28009,3510
4641,21188,3511
4642,862,3512
4643,357,3513
4644,12416,3514
685,476,3515
686,6207,3515
4645,3306,3515
4646,4301,3518
4647,24608,3519
4648,13863,3520
4649,12005,3521
4650,1021,3522
4651,22054,3523
4652,12399,3524
4653,12208,3525
4654,103,3526
4655,25350,3527
4656,12546,3528
4657,12421,3529
4658,577,3530
687,6437,3531
688,732,3531
4659,256,3531
4660,856,3534
4661,28369,3535
4662,23238,3536
4663,15631,3537
4664,12421,3538
4665,3099,3539
4666,13586,3540
689,848,3541
690,3026,3541
4667,7247,3541
4668,1908,3544
4669,2301,3545
691,20207,3546
4670,737,3546
692,664,3548
4671,2806,3548
4672,3099,3550
693,92,3551
694,563,3551
695,20392,3551
696,5302,3551
697,1060,3551
4673,26997,3551
4674,4518,3557
698,131,3558
4675,22241,3558
4676,12037,3560
4677,13397,3561
699,14235,3562
4678,13428,3562
4679,2378,3564
4680,1052,3565
4681,118,3566
4682,20944,3567
4683,348,3568
4684,2096,3569
4685,18593,3570
4686,15228,3571
4687,308,3572
4688,2303,3573
4689,209,3574
4690,497,3575
4691,29077,3576
4692,62,3577
4693,23706,3578
700,26813,3579
4694,27538,3579
4695,1065,3581
4696,4962,3582
4697,28589,3583
701,1850,3584
4698,3704,3584
4699,3898,3586
4700,5023,3587
4701,17136,3588
4702,15192,3589
4703,26881,3590
4704,704,3591
4705,992,3592
4706,27333,3593
4707,90,3594
4708,1577,3595
4709,12394,3596
4710,15228,3597
702,3367,3598
4711,2846,3600
4712,12324,3601
4713,15473,3602
703,664,3603
704,815,3603
4714,2296,3603
4715,16297,3606
4716,304,3607
4717,3480,3608
4718,27039,3609
4719,3010,3610
4720,2461,3611
4721,23220,3612
4722,12374,3614
4723,12502,3615
4724,2153,3616
705,4559,3617
706,700,3617
707,28300,3617
4725,251,3617
4726,4353,3621
4727,3026,3622
4728,1909,3623
4729,24988,3624
4730,2990,3625
4731,3704,3626
4732,16233,3627
4733,2208,3628
708,1186,3629
4734,942,3629
4735,2333,3631
4736,12019,3632
4737,64,3633
4738,1615,3634
4739,6890,3635
4740,1022,3636
4741,37,3637
4742,22219,3638
4743,1781,3639
4744,303,3640
4745,28591,3641
4746,446,3642
4747,19638,3643
4748,24145,3644
4749,1709,3645
4750,265,3646
4751,23238,3647
4752,3139,3648
4753,29086,3649
4754,4764,3650
4755,1957,3651
4756,28074,3652
4757,27039,3653
4758,5200,3654
4759,702,3655
4760,2294,3656
4761,3243,3657
4762,5056,3658
4763,123,3659
4764,1971,3660
4765,1814,3661
4766,24161,3662
4767,29547,3664
4768,24955,3665
4769,208,3666
4770,5077,3667
4771,27039,3668
4772,6272,3669
4773,566,3670
709,1149,3671
4774,3225,3671
4775,12399,3673
4776,27753,3674
4777,513,3676
4778,3266,3677
4779,18014,3678
4780,732,3679
4781,1520,3680
4782,13036,3681
4783,941,3682
4784,4701,3683
4785,3010,3684
4786,12607,3685
4787,435,3686
4788,3480,3687
4789,13332,3688
710,3367,3689
711,15228,3689
4790,15228,3689
4791,5326,3692
4792,2401,3693
4793,2970,3694
4794,3750,3695
712,5496,3696
4795,1054,3696
4796,469,3698
4797,14773,3699
713,15449,3700
4798,5496,3700
4799,1024,3702
4800,12312,3703
714,93,3704
715,514,3704
4801,412,3704
4802,27333,3707
716,4325,3708
717,5503,3708
718,1180,3708
719,230,3708
4803,18488,3708
4804,5496,3713
4805,24345,3714
4806,544,3715
4807,267,3716
4808,23220,3717
4809,29873,3718
4810,16667,3719
4811,24846,3720
720,365,3721
721,230,3721
722,85,3721
4812,395,3721
4813,7902,3725
4814,12466,3726
4815,14415,3727
4816,23308,3728
723,869,3729
4817,434,3729
4818,24378,3731
4819,636,3732
4820,3099,3733
4821,2300,3734
4822,197,3735
4823,2301,3736
4824,23308,3737
4825,1320,3738
4826,55,3739
4827,28574,3740
4828,1024,3741
4829,3707,3742
4830,12178,3743
4831,5496,3744
4832,7902,3745
4833,12193,3747
4834,307,3748
4835,18488,3749
4836,14801,3750
4837,23039,3751
724,23220,3752
4838,14801,3752
4839,26881,3754
4840,26881,3755
4841,19480,3756
4842,21188,3757
4843,14773,3758
4844,18286,3759
4845,2718,3760
4846,20153,3761
4847,1369,3762
4848,2378,3763
4849,3225,3764
4850,13023,3765
4851,1896,3766
4852,1180,3767
4853,7065,3768
725,21214,3770
726,2295,3770
4854,14773,3770
4855,12999,3773
4856,23706,3774
4857,2208,3775
4858,20153,3776
727,2467,3777
728,22118,3777
4859,4640,3777
4860,25397,3780
4861,27443,3781
4862,13360,3782
4863,4679,3783
4864,2386,3784
4865,14773,3785
4866,12178,3786
4867,17975,3787
4868,19611,3788
4869,21214,3789
4870,856,3790
4871,1279,3791
4872,27313,3792
4873,12178,3793
729,2986,3794
4874,565,3794
730,23296,3796
4875,247,3796
4876,941,3798
4877,24038,3799
4878,5497,3800
4879,1520,3801
4880,4019,3802
731,672,3803
4881,23308,3803
4882,17136,3805
4883,28257,3806
4884,329,3807
4885,607,3808
4886,24169,3809
4887,12068,3810
4888,12029,3811
4889,24169,3812
4890,3897,3813
4891,259,3814
4892,20655,3815
4893,20581,3816
4894,301,3817
732,20067,3818
733,24048,3818
734,25940,3818
4895,12519,3818
735,24619,3822
4896,2780,3822
4897,18286,3824
4898,90,3825
4899,23420,3826
4900,965,3827
4901,6,3828
4902,502,3829
4903,2293,3830
4904,64,3831
4905,13863,3832
736,285,3833
737,107,3833
738,252,3833
739,227,3833
740,24951,3833
741,20185,3833
742,23040,3833
4906,911,3833
4907,12059,3841
4908,29936,3842
4909,27558,3843
4910,14252,3844
4911,20946,3845
4912,231,3846
4913,2897,3847
4914,25048,3848
4915,15853,3849
4916,12359,3850
4917,20696,3851
4918,13858,3852
4919,28069,3853
4920,301,3854
4921,249,3855
4922,2035,3856
4923,4386,3857
4924,12359,3858
4925,13332,3859
4926,28334,3860
743,10,3862
744,2718,3862
4927,18277,3862
4928,2100,3865
4929,150,3866
4930,1196,3867
4931,313,3868
745,53,3869
4932,513,3869
4933,23638,3871
4934,72,3872
4935,14556,3873
746,21953,3874
747,3885,3874
4936,23238,3874
4937,399,3877
4938,110,3878
748,12029,3879
4939,2305,3879
749,700,3881
4940,251,3881
4941,4640,3883
4942,2303,3884
4943,20655,3885
750,2163,3886
4944,573,3886
4945,12111,3888
4946,2339,3889
4947,2291,3890
751,21953,3891
752,3885,3891
4948,23238,3891
4949,5954,3894
4950,19197,3895
4951,2966,3896
4952,12193,3897
4953,12999,3898
4954,20631,3899
4955,1927,3900
4956,664,3901
753,18569,3902
4957,6548,3902
4958,13858,3904
4959,538,3905
4960,1021,3906
4961,3487,3907
4962,23427,3908
4963,5004,3909
754,1318,3910
755,27271,3910
756,2333,3910
757,657,3910
758,3306,3910
4964,2820,3910
4965,4689,3916
759,88,3917
760,26520,3917
4966,592,3917
4967,2153,3920
761,5302,3921
4968,27323,3921
762,12360,3923
4969,657,3923
4970,1105,3925
4971,4402,3926
4972,14170,3927
4973,27257,3928
4974,251,3930
4975,27828,3931
4976,856,3932
763,336,3933
764,664,3933
4977,69,3933
4978,5497,3936
4979,13212,3937
4980,19432,3938
4981,4764,3939
4982,313,3940
4983,4301,3941
4984,5400,3942
765,28288,3943
4985,426,3943
4986,125,3945
4987,90,3946
4988,72,3947
4989,24985,3948
4990,1971,3949
4991,12029,3950
4992,2378,3951
4993,55,3952
4994,3616,3953
4995,17405,3954
4996,28069,3955
4997,412,3957
4998,23686,3958
4999,12586,3959
5000,24610,3960
5001,15542,3961
5002,396,3962
5003,12220,3963
5004,5498,3964
5005,12019,3965
5006,209,3966
5007,110,3967
5008,110,3968
5009,1126,3969
5010,2306,3970
5011,13863,3971
5012,2970,3972
5013,28369,3973
5014,6083,3974
5015,102,3975
5016,848,3976
5017,195,3977
766,357,3978
767,2294,3978
768,2303,3978
769,154,3978
770,2163,3978
5018,148,3978
771,5508,3984
5019,12546,3984
5020,3219,3986
5021,18787,3987
5022,2461,3988
5023,12005,3989
5024,2334,3990
5025,771,3991
5026,189,3992
5027,911,3993
5028,1279,3994
5029,782,3995
5030,17532,3996
5031,303,3997
5032,3026,3998
5033,20711,3999
772,17215,4000
773,27443,4000
774,24951,4000
5034,252,4000
5035,256,4004
5036,16138,4005
775,737,4006
5037,20207,4006
5038,2294,4008
5039,1742,4009
5040,24769,4010
776,1474,4011
5041,2292,4011
5042,161,4013
5043,7167,4014
5044,256,4015
5045,24936,4016
5046,189,4018
5047,20600,4019
777,14871,4020
5048,26353,4020
5049,12001,4022
5050,5772,4023
5051,12001,4024
5052,20600,4025
778,849,4026
5053,151,4026
5054,28009,4028
5055,12010,4029
5056,525,4030
5057,5762,4031
779,2275,4032
5058,20058,4032
5059,2306,4034
780,20076,4035
781,12068,4035
5060,23638,4035
5061,114,4038
782,15228,4039
5062,3367,4039
5063,154,4042
5064,12029,4043
5065,1105,4044
783,27273,4045
784,1879,4045
785,4857,4045
5066,614,4045
5067,508,4049
5068,12502,4050
5069,1106,4051
5070,123,4052
5071,27753,4053
5072,28441,4055
786,249,4056
5073,227,4056
787,2957,4058
5074,218,4058
5075,25350,4060
788,20287,4061
789,23003,4061
5076,165,4061
5077,1220,4064
790,246,4065
5078,13279,4065
5079,7247,4067
791,6,4068
5080,165,4068
792,14027,4070
5081,23108,4070
5082,15962,4072
5083,14556,4073
5084,2298,4074
5085,5135,4075
5086,20350,4076
793,103,4077
794,3126,4077
5087,28069,4077
5088,25777,4080
5089,252,4081
5090,348,4082
5091,22951,4083
5092,2275,4084
5093,13156,4085
5094,4702,4086
795,573,4087
796,103,4087
5095,365,4087
5096,209,4090
5097,6890,4091
797,2300,4093
5098,2303,4093
5099,14266,4095
798,217,4096
799,226,4096
800,213,4096
5100,24065,4096
5101,551,4100
5102,123,4101
5103,4506,4102
5104,4666,4103
5105,12008,4104
5106,771,4105
5107,20695,4106
5108,12586,4107
5109,16297,4108
5110,12001,4109
5111,459,4110
5112,2038,4111
5113,16966,4112
5114,12360,4113
5115,24267,4114
5116,12002,4115
5117,20695,4116
5118,2294,4117
5119,27333,4118
5120,732,4119
5121,2997,4120
5122,3041,4121
801,4857,4122
5123,2626,4122
5124,857,4124
5125,12421,4125
5126,2089,4126
5127,20561,4127
802,3356,4128
5128,22220,4128
803,3608,4130
804,541,4130
5129,607,4130
5130,1052,4133
805,18569,4134
5131,57,4134
5132,2294,4136
5133,23,4137
5134,3617,4138
806,399,4139
5135,8036,4139
5136,16083,4141
5137,12122,4142
5138,13463,4143
5139,24161,4144
5140,114,4146
5141,123,4147
5142,29583,4148
5143,16996,4149
5144,12052,4150
5145,459,4151
5146,12586,4152
807,131,4153
5147,539,4153
5148,28334,4155
5149,16940,4157
5150,2089,4158
5151,2038,4159
5152,155,4160
5153,12966,4161
5154,29086,4162
808,20703,4163
5155,25578,4163
5156,20793,4165
5157,189,4166
5158,2339,4167
5159,12009,4168
5160,25350,4169
809,2718,4170
5161,217,4170
5162,26721,4172
5163,336,4173
5164,15618,4174
5165,5704,4175
810,2298,4176
811,265,4176
5166,3608,4176
5167,3029,4179
5168,2401,4180
5169,2038,4181
5170,525,4182
812,15293,4183
5171,849,4183
813,24057,4185
5172,14871,4185
5173,4767,4187
5174,526,4188
5175,5704,4189
5176,13868,4190
5177,25179,4191
5178,2339,4192
5179,5498,4193
5180,5466,4194
5181,4666,4195
5182,4666,4196
5183,771,4197
5184,24267,4198
5185,3780,4199
5186,24194,4200
5187,544,4201
5188,14057,4202
5189,26353,4203
5190,118,4204
5191,3780,4205
5192,348,4206
5193,25008,4207
5194,3118,4208
5195,29734,4209
5196,5035,4210
5197,2598,4211
814,2275,4212
5198,346,4212
5199,3169,4214
5200,28334,4215
5201,17405,4217
5202,12019,4218
5203,976,4219
5204,5497,4220
5205,322,4221
5206,12966,4222
5207,1022,4223
815,23040,4224
816,2771,4224
5208,12466,4224
5209,2336,4227
5210,23220,4228
5211,21214,4229
5212,12005,4230
5213,997,4231
5214,21351,4232
5215,694,4233
5216,13863,4234
5217,22040,4235
5218,1131,4236
5219,2304,4237
817,28074,4238
818,50,4238
819,3722,4238
5220,51,4238
5221,20793,4242
820,2300,4243
5222,2292,4243
5223,4169,4245
5224,21188,4246
5225,13153,4247
5226,13819,4248
5227,19197,4249
5228,1060,4250
5229,26881,4251
5230,14222,4252
821,4518,4253
5231,4353,4253
5232,184,4255
5233,17723,4256
5234,2153,4257
5235,3896,4258
5236,22118,4259
5237,22265,4260
5238,16966,4261
5239,1957,4262
5240,2400,4263
5241,34,4264
5242,12045,4265
5243,2061,4266
5244,3782,4267
5245,3010,4268
5246,3616,4269
5247,342,4270
5248,303,4271
822,1026,4272
5249,3139,4272
5250,27257,4274
5251,1247,4276
5252,476,4277
5253,104,4278
5254,12350,4279
5255,171,4280
5256,3423,4281
5257,5704,4282
5258,4144,4283
5259,27257,4284
5260,782,4285
5261,5503,4286
5262,5503,4287
5263,15618,4288
5264,5482,4289
5265,21281,4290
5266,1060,4291
5267,2293,4292
5268,4177,4293
5269,13858,4294
5270,23308,4295
5271,21351,4296
823,566,4297
824,557,4297
5272,15962,4297
5273,23740,4300
5274,2324,4301
5275,2469,4302
5276,16667,4303
5277,12374,4304
5278,820,4305
5279,7620,4306
5280,50,4307
5281,378,4308
5282,516,4309
5283,51,4310
5284,15783,4311
5285,2705,4312
5286,16940,4313
5287,997,4314
5288,20661,4315
5289,2324,4316
5290,15783,4317
5291,5656,4318
5292,28574,4319
5293,444,4320
5294,4506,4321
5295,475,4322
5296,29545,4323
5297,1850,4324
825,28074,4325
826,14773,4325
5298,50,4325
827,4353,4328
5299,4518,4328
5300,20185,4330
5301,1119,4331
5302,165,4332
5303,3704,4333
5304,2469,4334
5305,2061,4335
5306,13869,4336
5307,5302,4337
5308,329,4338
5309,12394,4339
5310,1247,4340
5311,3356,4341
5312,27313,4342
828,17540,4343
829,27271,4343
5313,20703,4343
5314,15853,4346
5315,2292,4347
5316,2900,4348
5317,16795,4349
5318,420,4350
5319,25513,4351
830,308,4352
5320,444,4352
5321,14727,4354
5322,12115,4355
5323,4727,4356
5324,2439,4357
831,15293,4358
5325,5075,4358
832,14266,4360
833,849,4360
5326,150,4363
5327,3896,4364
5328,13369,4365
834,15542,4366
5329,16013,4366
5330,184,4368
5331,189,4369
5332,27257,4370
5333,12298,4372
5334,5004,4373
5335,395,4374
5336,26539,4375
5337,4353,4376
5338,28472,4377
5339,2378,4378
5340,2805,4379
5341,28257,4380
5342,19969,4381
5343,159,4382
5344,12030,4383
5345,4361,4384
5346,12196,4385
5347,3306,4386
5348,476,4387
835,5704,4388
5349,2339,4388
5350,24474,4391
5351,12397,4392
5352,5496,4393
5353,13872,4394
5354,3707,4395
5355,3029,4396
836,12375,4397
5356,621,4397
5357,22265,4399
5358,337,4400
837,1341,4401
838,3616,4401
839,18488,4401
5359,10,4401
5360,313,4405
5361,20600,4406
5362,664,4407
5363,20793,4408
5364,20696,4409
5365,27558,4410
5366,24345,4411
5367,3049,4412
5368,12135,4413
5369,12966,4414
5370,24587,4416
5371,3118,4417
840,27244,4418
5372,1745,4418
5373,413,4420
841,3885,4421
5374,154,4421
5375,5023,4423
5376,2650,4424
5377,3423,4425
5378,110,4426
5379,15992,4427
5380,1781,4428
5381,5498,4429
5382,2208,4430
842,4767,4431
5383,125,4431
5384,345,4433
5385,282,4434
5386,24057,4435
843,19109,4436
844,237,4438
5387,3187,4438
845,22735,4440
5388,5302,4440
846,420,4442
847,5611,4442
5389,12002,4442
5390,2146,4445
848,22265,4446
5391,636,4446
5392,7102,4448
5393,16013,4449
849,5503,4450
5394,25513,4450
5395,175,4452
5396,159,4453
5397,159,4454
5398,22040,4455
5399,2400,4456
5400,25513,4457
5401,5342,4458
5402,24474,4459
5403,1313,4460
5404,1180,4461
5405,986,4462
850,20631,4463
5406,7947,4463
5407,114,4465
5408,4936,4466
5409,19611,4467
5410,4518,4468
5411,12121,4469
5412,28018,4470
5413,12375,4471
5414,2339,4472
5415,7388,4473
5416,5704,4474
5417,27458,4475
5418,3126,4476
5419,14482,4477
5420,6423,4478
5421,23040,4479
851,23753,4480
852,26453,4480
5422,3169,4480
5423,27257,4483
5424,20392,4484
5425,14235,4485
5426,5497,4486
5427,12121,4487
5428,24907,4488
5429,27257,4489
5430,165,4490
5431,25048,4491
5432,23257,4492
5433,15495,4493
5434,24882,4494
5435,3392,4495
5436,26839,4496
5437,14556,4497
5438,2469,4498
5439,4701,4499
5440,14548,4500
5441,3896,4501
5442,111,4502
5443,2378,4503
5444,5586,4504
5445,28288,4505
5446,12083,4506
5447,27387,4507
5448,24267,4508
5449,13153,4509
5450,12204,4510
5451,7247,4511
5452,446,4512
5453,2100,4513
5454,12581,4514
5455,2061,4515
5456,5056,4516
5457,4335,4517
5458,2386,4518
5459,24949,4519
853,15542,4520
5460,4169,4520
5461,2915,4522
854,476,4523
855,3306,4523
5462,2333,4523
5463,231,4526
5464,12363,4527
5465,12058,4528
5466,3707,4529
856,3782,4530
857,2100,4530
5467,20883,4530
5468,2718,4533
858,820,4534
5469,2629,4534
859,12029,4536
5470,1126,4536
5471,4386,4538
5472,1186,4539
5473,27272,4540
5474,17576,4541
5475,197,4542
5476,68,4543
860,23308,4544
5477,12586,4544
861,25777,4546
862,7947,4546
5478,16996,4546
5479,4640,4549
5480,3243,4550
863,14773,4551
5481,346,4551
5482,16966,4553
5483,1745,4554
5484,13531,4555
864,29,4556
5485,12360,4556
5486,12061,4558
5487,90,4560
5488,21188,4561
5489,13858,4562
5490,3896,4563
865,10,4564
5491,18488,4564
5492,16110,4566
5493,273,4567
5494,8021,4568
5495,25350,4569
5496,18014,4570
5497,2401,4571
5498,13872,4572
5499,866,4573
866,21,4574
867,16166,4574
5500,1742,4574
5501,3924,4578
5502,4149,4579
5503,24585,4580
5504,29086,4581
5505,12849,4582
5506,13428,4583
5507,16083,4584
5508,4439,4585
5509,12030,4586
5510,2089,4587
5511,12380,4588
5512,23039,4589
5513,20185,4590
868,392,4591
5514,4702,4591
5515,135,4593
869,5400,4594
870,13023,4594
871,12421,4594
5516,2497,4594
5517,5704,4598
5518,2035,4599
5519,1742,4600
5520,1186,4601
872,13501,4602
5521,6437,4602
5522,7065,4604
5523,2997,4606
5524,209,4607
873,535,4608
5525,250,4608
5526,4666,4610
5527,526,4611
5528,23579,4612
5529,554,4613
5530,348,4614
874,6437,4615
875,14415,4615
876,3219,4615
5531,252,4615
5532,808,4619
5533,2337,4620
5534,12849,4621
5535,857,4622
5536,5470,4623
5537,14556,4624
5538,12058,4626
877,1474,4627
5539,1846,4627
878,2338,4629
879,14057,4629
5540,308,4629
5541,5991,4632
880,27323,4634
5542,313,4634
5543,2334,4636
5544,12005,4637
5545,15618,4638
5546,2300,4639
5547,16355,4640
881,24065,4641
5548,18401,4641
5549,12350,4643
5550,12030,4644
882,14727,4645
5551,12059,4645
5552,16577,4647
883,361,4648
5553,3219,4648
5554,12421,4650
5555,1083,4651
5556,672,4652
884,19299,4653
885,6068,4653
5557,24949,4653
5558,23753,4656
5559,2035,4657
5560,771,4658
5561,195,4659
5562,24194,4660
886,15542,4661
5563,391,4661
5564,12122,4663
5565,3673,4664
5566,25579,4665
5567,13586,4666
5568,12397,4667
887,230,4668
5569,551,4668
5570,771,4670
5571,12122,4671
5572,155,4672
5573,348,4673
5574,704,4674
5575,2897,4675
5576,342,4676
5577,12420,4677
5578,541,4679
5579,12001,4680
888,1016,4681
889,345,4681
5580,597,4681
5581,23638,4684
5582,560,4685
5583,26759,4686
5584,5498,4687
5585,26838,4688
5586,189,4689
5587,23003,4690
5588,392,4691
5589,24610,4692
890,12399,4693
891,25350,4693
5590,13153,4693
5591,4439,4696
5592,7927,4697
5593,5497,4698
5594,2598,4699
5595,3627,4700
892,270,4701
5596,848,4701
893,5807,4703
894,5575,4703
895,12546,4703
5597,2304,4703
896,7927,4707
5598,4123,4707
897,2806,4709
5599,664,4709
5600,2806,4711
5601,4439,4712
5602,525,4713
5603,13858,4714
5604,2110,4715
5605,12966,4716
898,15853,4717
5606,23050,4717
5607,102,4719
5608,242,4720
899,14773,4721
5609,21214,4721
900,6,4723
5610,218,4723
5611,20650,4725
5612,12135,4726
5613,12208,4727
5614,700,4728
5615,29734,4729
5616,26997,4730
5617,2298,4731
5618,12298,4732
5629,2110,4733
901,14773,4734
902,21214,4734
5619,2295,4734
903,15962,4737
904,838,4737
905,2163,4737
906,573,4737
907,270,4737
908,14222,4737
5620,12586,4737
909,1016,4744
910,2303,4744
911,848,4744
5621,12122,4744
5622,368,4748
5623,13151,4749
5624,21188,4750
912,614,4751
913,636,4751
914,412,4751
915,12055,4751
5625,664,4751
916,540,4756
5626,102,4756
5627,2290,4758
5628,17540,4759
917,720,4760
918,474,4760
5630,5023,4760
5631,111,4763
5632,13819,4764
919,365,4765
920,282,4765
921,21214,4765
922,21960,4765
5633,13332,4765
5634,14482,4770
5635,1052,4771
5636,2110,4772
5637,12019,4773
5638,19432,4774
5639,3780,4775
923,14852,4776
924,23308,4776
5640,12586,4776
5641,2943,4779
5642,301,4780
5643,68,4781
5644,28300,4782
5645,23401,4783
5646,12177,4784
5647,13858,4785
5648,22372,4786
5649,3225,4787
5650,12312,4788
5651,941,4789
5652,12076,4790
5653,14482,4791
5654,23875,4792
5655,27257,4793
5656,412,4795
5657,3487,4796
5658,597,4797
925,50,4798
926,3722,4798
5659,28074,4798
5660,4439,4801
5661,4689,4802
927,5023,4803
928,28069,4803
5662,2650,4803
929,5844,4807
5663,14235,4807
5664,4518,4809
930,459,4810
5665,365,4810
5666,244,4812
5667,365,4813
5668,16233,4814
5669,307,4815
931,21960,4816
5670,2146,4816
5671,4169,4818
5672,514,4819
5673,392,4820
5674,3010,4821
5675,24038,4822
932,12466,4823
5676,23875,4823
5677,6890,4825
5678,3663,4827
933,12121,4828
5679,1896,4828
5680,25578,4830
5681,20153,4831
5682,23308,4832
934,50,4833
935,28074,4833
936,2208,4833
937,218,4833
938,154,4833
939,6,4833
5683,247,4833
5684,1247,4840
5685,231,4841
940,5586,4842
5686,2300,4842
5687,5302,4844
5688,2650,4845
5689,24145,4846
941,27458,4847
5690,12133,4847
5691,12394,4849
5692,12220,4850
5693,22118,4851
5694,69,4852
5695,2415,4853
5696,23401,4854
5697,1850,4855
5698,592,4856
5699,22372,4857
5700,25777,4858
942,12854,4859
943,560,4859
944,337,4859
945,218,4859
946,597,4859
947,552,4859
948,93,4859
949,242,4859
5701,577,4859
5702,20600,4868
5703,22219,4870
5704,12999,4871
5705,186,4872
5706,1957,4873
5707,29593,4874
950,1021,4875
5708,1167,4875
951,22868,4877
952,4962,4877
953,22388,4877
5709,1957,4877
5710,27753,4881
954,2338,4882
955,13360,4882
956,20287,4882
957,24610,4882
5711,28695,4888
5712,12037,4889
958,2307,4890
959,12109,4890
5713,1047,4890
960,704,4893
961,992,4893
5714,1850,4893
5715,2439,4896
5716,1247,4897
5717,3010,4898
5718,27662,4899
5719,992,4900
5720,13332,4901
962,4767,4902
5721,3361,4902
5722,2061,4904
5723,288,4905
5724,19961,4906
5725,1026,4907
5726,24474,4908
5727,24008,4909
5728,820,4910
5729,13863,4911
5730,932,4912
5731,23,4913
5732,165,4914
5733,12350,4915
5734,27662,4916
5735,17975,4917
5736,3169,4918
5737,12061,4919
5738,525,4920
5739,124,4921
5740,25097,4922
5741,1754,4923
5742,24057,4924
5743,5023,4925
5744,13369,4926
963,93,4927
5745,85,4927
964,3367,4929
965,15228,4929
5746,15228,4929
5747,26653,4932
5748,22322,4933
966,27802,4934
5749,266,4934
5750,3608,4936
5751,1180,4937
5752,27257,4938
5753,15542,4940
5754,118,4941
5755,5056,4942
5756,23050,4943
5757,27313,4944
5758,68,4945
5759,12585,4946
5760,15330,4947
5761,28069,4948
5762,1369,4950
5763,161,4951
5764,23050,4952
967,2333,4953
5765,3306,4953
5766,13229,4955
5767,476,4956
5768,20058,4957
5769,1019,4958
5770,395,4959
5771,25276,4960
5772,21196,4961
5773,3663,4962
5774,4169,4963
5775,3026,4964
5776,23244,4965
5777,4144,4966
5778,4559,4967
5779,23296,4968
5780,12397,4969
968,93,4970
5781,23,4970
5782,3187,4972
5783,19969,4973
969,1320,4974
5784,4144,4974
5785,2167,4976
5786,17576,4977
5787,5075,4978
970,392,4979
5788,28074,4979
5789,19638,4981
5790,15192,4982
5791,16355,4983
5792,395,4984
5793,303,4985
5794,12037,4986
5795,29077,4987
5796,5200,4988
5797,23244,4989
971,720,4991
5798,7947,4991
5799,23296,4993
5800,12295,4994
5801,27257,4995
5802,12002,4997
5803,245,4998
5804,15841,4999
5805,13858,5000
5806,2293,5001
5807,12197,5002
5808,3663,5003
5809,24951,5004
5810,4506,5005
5811,19961,5006
5812,21960,5007
5813,16166,5008
5814,26485,5009
972,28315,5010
5815,1150,5010
5816,3225,5012
5817,2305,5013
5818,3546,5014
5819,19109,5015
5820,150,5016
5821,1313,5017
5822,3627,5018
973,3272,5019
974,12220,5019
5823,28589,5019
5824,12041,5022
5825,27558,5023
5826,508,5024
5827,1325,5025
5828,1896,5026
5829,4248,5027
5830,7102,5028
5831,18286,5029
5832,25557,5030
5833,255,5031
975,24057,5032
5834,19969,5032
5835,22137,5034
5836,20883,5035
976,27660,5036
5837,3187,5036
5838,19961,5038
5839,29761,5039
5840,7065,5040
5841,20289,5042
5842,3169,5043
5843,13212,5044
5844,2294,5045
5845,200,5046
5846,13212,5047
5847,1131,5048
5848,5452,5049
977,1846,5050
5849,1076,5050
5850,1119,5052
978,552,5053
979,93,5053
980,85,5053
5851,566,5053
5852,23039,5057
5853,857,5058
5854,5466,5059
5855,17560,5060
981,24937,5061
5856,26838,5061
5857,251,5063
5858,23753,5064
982,13156,5065
983,6068,5065
984,5400,5065
5859,255,5065
5860,2306,5069
5861,3169,5070
5862,2997,5071
5863,5075,5072
985,7065,5073
5864,5498,5073
5865,1220,5076
5866,435,5077
5867,1056,5078
5868,24951,5079
5869,541,5080
986,1186,5081
5870,942,5081
5871,508,5083
5872,12546,5084
987,1220,5085
988,657,5085
5873,1846,5085
5874,23257,5088
5875,5496,5089
5876,20561,5090
5877,19197,5091
5878,1057,5092
5879,3313,5093
5880,5772,5094
5881,304,5095
5882,15192,5096
5883,12606,5097
989,21960,5098
990,22265,5098
991,125,5098
992,218,5098
993,815,5098
994,2806,5098
5884,3722,5098
5885,3148,5105
5886,23,5106
5887,24978,5107
5888,218,5108
5889,267,5109
5890,28565,5110
5891,27273,5111
5892,2378,5112
995,21953,5113
996,27323,5113
997,1052,5113
5893,2598,5113
5894,22322,5117
5895,480,5118
5896,12607,5119
5897,4133,5120
5898,1879,5121
5899,1065,5122
5900,2603,5123
5901,15962,5124
5902,20314,5125
5903,1927,5126
5904,94,5127
5905,5035,5128
998,20350,5129
5906,69,5129
5907,2299,5131
5908,2598,5132
5909,12380,5133
5910,14727,5134
5911,20946,5135
999,2324,5136
5912,2304,5136
5913,105,5138
5914,1252,5139
5915,551,5140
5916,2415,5141
5917,3392,5142
1000,2294,5143
5918,231,5143
5919,13332,5145
5920,12380,5146
5921,19440,5147
5922,1057,5148
1001,396,5149
5923,554,5149
5924,3148,5151
1002,171,5152
5925,69,5152
5926,19611,5154
5927,2401,5155
1003,21960,5156
1004,17540,5156
5928,5540,5156
5929,24769,5159
