,cid,did
2729,2997,1076
237,24937,1079
238,1126,1079
2730,12397,1079
2731,12030,1082
239,13531,1083
2732,3704,1083
2733,2806,1085
2734,195,1086
2735,12584,1087
2736,20946,1088
2737,13229,1089
2738,24145,1090
2739,2153,1091
2740,694,1092
2741,4144,1093
2742,2957,1094
2743,5991,1095
240,27662,1097
241,28300,1097
2744,14852,1097
2745,27387,1100
242,23633,1101
2746,28589,1101
2747,24978,1103
243,848,1104
2748,525,1104
244,6,1106
2749,4325,1106
2750,20185,1108
2751,72,1109
2752,27252,1110
2753,27558,1111
2754,25097,1112
2755,751,1113
2756,5626,1114
2757,732,1115
2758,16110,1116
2759,15783,1118
2760,252,1119
2761,14170,1120
2762,28257,1121
2763,26813,1122
245,2718,1124
246,226,1124
247,213,1124
2764,13868,1124
2765,7102,1128
2766,563,1129
2767,244,1130
2768,1127,1131
2769,171,1132
2770,3511,1133
2771,12585,1134
2772,53,1135
248,186,1136
2773,1909,1136
2774,313,1138
2775,27753,1139
249,27698,1140
2776,22406,1142
2777,25093,1143
2778,12111,1144
2779,29545,1145
250,3148,1146
2780,12584,1146
2781,186,1148
2782,22137,1149
2783,22322,1150
251,23050,1151
2784,12220,1151
2785,1318,1153
2786,2306,1154
252,5626,1155
2787,60,1155
253,13683,1157
2788,413,1157
2789,1768,1160
2790,342,1161
2791,15783,1162
2792,1105,1163
2793,93,1164
2794,3898,1165
254,12029,1166
2795,4169,1166
2796,2986,1169
2797,446,1170
2798,4936,1171
255,12832,1172
2799,1167,1172
2800,22197,1174
2801,3272,1175
2802,3487,1176
2803,26856,1177
2804,2910,1178
2805,24988,1179
2806,13369,1180
2807,614,1181
256,3608,1182
2808,12968,1182
257,2629,1184
2809,445,1184
258,622,1186
2810,322,1186
2811,19480,1188
2812,131,1189
2813,12037,1190
2814,445,1191
2815,2291,1192
259,77,1193
260,3169,1193
261,17808,1193
262,14266,1193
2816,2626,1193
2817,1250,1198
2818,2301,1199
2819,378,1200
2820,20099,1201
2821,1026,1202
263,2096,1203
264,622,1203
2822,614,1203
265,20099,1206
266,12350,1206
2823,13369,1206
2824,20207,1209
2825,26838,1210
2826,465,1212
2827,556,1213
2828,2897,1214
2829,6437,1215
2830,12135,1216
2831,13463,1217
2832,20600,1218
267,525,1220
2833,771,1220
2834,508,1222
2835,13683,1223
2836,2603,1224
2837,13212,1225
2838,14871,1226
2839,2806,1227
2840,242,1228
2841,337,1229
268,17215,1230
2842,5466,1230
2843,4596,1232
269,56,1233
2844,28186,1233
2845,28565,1235
2846,4506,1236
2847,2089,1237
270,106,1238
2848,107,1238
2849,20207,1240
2850,1021,1241
271,12397,1242
2851,1126,1242
2852,2290,1244
2853,16083,1245
2854,2227,1246
272,15293,1247
2855,1615,1247
273,1076,1250
2856,664,1250
2857,24268,1252
2858,1126,1253
2859,12204,1254
2860,3219,1255
2861,12581,1256
2862,41,1257
2863,12037,1258
274,13807,1259
275,1129,1259
276,14705,1259
2864,413,1259
2865,15293,1263
277,14266,1264
2866,1119,1266
2867,24267,1267
2868,2300,1268
2869,12363,1269
278,2629,1270
279,26838,1270
2870,820,1270
2871,2304,1274
2872,2897,1275
2873,119,1276
2874,107,1277
2875,92,1278
2876,2603,1279
2877,3546,1280
2878,1054,1281
2879,23505,1282
2880,565,1283
2881,2337,1284
2882,285,1285
2883,2780,1286
280,541,1287
281,3608,1287
2884,218,1287
282,2356,1290
2885,1255,1290
2886,2324,1292
2887,702,1293
2888,578,1294
283,1024,1295
284,8036,1295
2889,399,1295
2890,12606,1298
2891,5497,1299
2892,12005,1300
2893,5575,1301
2894,189,1302
2895,2305,1303
2896,175,1304
285,378,1305
286,12734,1305
2897,566,1305
2898,17416,1308
2899,12029,1309
2900,3348,1310
287,20350,1311
288,69,1311
2901,322,1311
2902,43,1314
2903,26838,1315
2904,6083,1317
289,565,1318
2905,29368,1318
2906,4248,1320
2907,19299,1321
2908,12010,1322
2909,5452,1323
2910,21196,1324
290,525,1325
2911,29303,1325
2912,69,1327
2913,2336,1328
2914,12001,1329
291,19299,1330
2915,5807,1332
2916,2306,1333
2917,15823,1334
292,285,1335
2918,672,1335
2919,4490,1337
2920,77,1338
2921,23244,1339
2922,236,1341
2923,12546,1342
2924,24986,1343
2925,2496,1344
2926,270,1345
2927,782,1346
2928,14556,1347
2929,25777,1349
2930,2301,1350
2931,2096,1351
2932,13023,1352
293,5508,1353
2933,12212,1353
294,230,1355
295,106,1355
296,808,1355
297,480,1355
298,288,1355
2934,43,1355
299,19961,1361
2935,12585,1361
300,368,1363
2936,3897,1363
2937,13229,1365
2938,18277,1366
2939,29349,1367
2940,4962,1368
2941,21,1369
2942,12399,1370
2943,16166,1371
2944,15293,1373
301,3897,1375
2945,19197,1377
2946,57,1378
2947,21196,1379
2948,12418,1380
2949,20207,1381
2950,2897,1382
2951,102,1383
2952,24986,1384
2953,378,1385
2954,5954,1386
2955,2303,1388
2956,21196,1389
2957,21196,1390
302,541,1391
303,227,1391
304,535,1391
2958,17576,1391
2959,25424,1395
305,23039,1396
2960,20314,1396
306,123,1398
2961,838,1398
2962,28334,1400
2963,4133,1402
2964,2096,1403
2965,21953,1404
2966,28565,1405
2967,1250,1406
2968,1255,1407
307,1927,1408
2969,155,1408
2970,1065,1410
2971,622,1411
2972,3617,1412
2973,16996,1413
308,13963,1414
2974,124,1414
2975,1180,1416
2976,5807,1417
2977,4559,1418
2978,4518,1419
2979,3487,1420
2980,29,1421
309,141,1422
2981,304,1422
2982,13863,1424
2983,21960,1425
2984,2467,1426
2985,14801,1427
2986,3135,1428
2987,25048,1429
2988,13858,1430
2989,301,1431
2990,24169,1432
2991,7310,1433
2992,2900,1434
2993,5200,1435
2994,24161,1436
2995,24161,1437
2996,3356,1438
2997,7947,1439
2998,20289,1440
2999,22219,1441
3000,3356,1442
3001,3361,1443
3002,3361,1444
3003,27039,1445
310,12399,1446
311,13153,1446
3004,29859,1446
3005,29077,1449
3006,5497,1450
3007,2780,1451
3008,12330,1452
312,104,1453
313,68,1453
314,119,1453
3009,3219,1453
3010,303,1457
3011,25579,1458
3012,25303,1459
3013,244,1460
3014,13819,1461
3015,329,1462
3016,23920,1463
3017,420,1465
3018,4506,1466
3019,346,1467
315,737,1468
316,3896,1468
317,2780,1468
318,13369,1468
3020,301,1468
3021,242,1473
3022,282,1474
3023,1909,1475
3024,19197,1476
319,1047,1477
320,16966,1477
321,141,1477
3025,17808,1477
322,6,1481
3026,218,1481
3027,1313,1483
3028,20600,1484
3029,62,1485
3030,396,1486
3031,197,1487
3032,446,1488
3033,1781,1489
3034,22825,1490
3035,13868,1492
3036,2705,1493
3037,1052,1494
3038,672,1495
3039,20631,1496
3040,329,1497
3041,2780,1498
3042,21241,1499
323,24988,1500
3043,737,1500
324,365,1502
325,21960,1502
3044,22071,1502
3045,12606,1505
326,535,1506
3046,304,1506
3047,4144,1508
3048,1754,1509
327,17215,1510
3049,16795,1510
3050,23308,1512
3051,303,1513
3052,8021,1514
3053,12052,1515
3054,3219,1516
328,12111,1517
3055,3135,1517
3056,22040,1519
3057,27753,1520
329,465,1522
3058,27756,1522
3059,27271,1524
3060,16867,1525
3061,22118,1526
3062,23686,1527
3063,3487,1528
3064,12076,1529
330,345,1530
3065,1016,1530
3066,8033,1532
3067,12324,1533
3068,2997,1534
3069,1320,1535
331,111,1536
332,578,1536
3070,102,1536
3071,1127,1539
3072,23050,1540
3073,22406,1541
3074,2378,1542
3075,3225,1543
3076,23050,1544
3077,27272,1545
3078,2141,1546
3079,3135,1547
3080,1709,1548
3081,27738,1549
3082,1520,1550
3083,22825,1551
333,5342,1552
3084,5342,1554
3085,24161,1555
3086,29077,1556
3087,1149,1557
3088,22054,1558
3089,1026,1559
3090,1866,1560
3091,28574,1561
3092,25350,1562
3093,281,1563
3094,281,1564
3095,7310,1565
3096,2966,1566
3097,230,1567
3098,6068,1568
3099,2650,1569
3100,22868,1570
3101,3924,1571
3102,19638,1572
3103,13229,1573
3104,250,1574
3105,20289,1575
3106,19969,1576
3107,26813,1577
3108,154,1579
3109,284,1580
3110,20946,1581
3111,12288,1582
3112,459,1583
3113,15192,1584
3114,301,1585
3115,13153,1586
3116,26485,1587
3117,23040,1588
3118,27458,1589
3119,737,1590
3120,474,1591
3121,22322,1592
3122,7947,1593
3123,18401,1594
3124,12849,1595
3125,20600,1596
3126,15192,1597
3127,28245,1598
3128,3169,1599
3129,1076,1600
334,1056,1601
3130,5575,1601
3131,3226,1603
335,99,1604
336,29761,1604
3132,24988,1604
337,4019,1607
3133,4335,1607
3134,29545,1609
3135,16667,1610
3136,942,1611
3137,6890,1612
3138,535,1614
3139,12204,1615
3140,13166,1616
3141,516,1617
338,941,1618
339,22220,1618
340,237,1618
3142,1318,1618
3143,20650,1622
3144,815,1623
3145,446,1624
3146,26453,1625
3147,29077,1626
3148,6,1627
3149,21241,1628
3150,21188,1629
3151,106,1630
3152,25350,1631
3153,694,1632
3154,186,1633
3155,4666,1634
3156,502,1635
3157,199,1636
3158,3616,1637
3159,1016,1638
3160,322,1639
3161,12212,1640
3162,13501,1641
3163,25097,1642
3164,19611,1643
341,22054,1644
3165,14727,1644
3166,1250,1646
342,14235,1647
3167,5844,1647
343,259,1649
344,247,1649
3168,14027,1649
3169,15449,1652
345,737,1653
3170,20207,1653
3171,4702,1655
3172,1140,1656
3173,27242,1657
3174,18363,1658
3175,135,1659
3176,20711,1660
3177,573,1661
346,4640,1662
3178,607,1662
3179,21953,1664
3180,18277,1665
3181,26353,1666
3182,14705,1667
347,252,1668
3183,657,1668
3184,2297,1670
3185,23590,1671
3186,5302,1672
3187,12416,1673
3188,2035,1674
3189,2294,1675
3190,28069,1676
3191,3041,1677
3192,1093,1678
348,2567,1679
3193,17215,1679
349,1866,1681
3194,88,1681
3195,12234,1683
3196,16233,1684
3197,6437,1685
3198,2990,1686
3199,13869,1687
3200,23039,1688
3201,57,1689
3202,1119,1690
3203,28009,1691
3204,6548,1692
350,8029,1693
3205,288,1693
3206,435,1695
3207,2298,1696
3208,1908,1697
3209,2167,1698
3210,18593,1699
351,4402,1700
3211,848,1700
3212,27756,1702
352,771,1703
3213,1119,1703
3214,18787,1705
3215,3673,1706
3216,20099,1707
3217,27375,1708
3218,3511,1709
3219,3898,1710
3220,12115,1711
3221,3924,1712
353,12059,1713
3222,2299,1713
3223,13023,1715
3224,16083,1716
3225,21196,1717
3226,243,1718
3227,3780,1719
3228,28009,1720
3229,4149,1721
3230,3780,1722
3231,539,1723
3232,12502,1724
3233,17975,1725
3234,3511,1726
3235,12208,1727
3236,13586,1728
354,244,1729
3237,5498,1729
3238,1065,1731
3239,20793,1732
3240,14801,1733
3241,1119,1734
3242,16500,1735
3243,23956,1736
3244,23956,1737
3245,2469,1738
3246,25397,1739
3247,13105,1740
3248,602,1741
3249,28695,1742
3250,17540,1743
355,20655,1744
356,15992,1744
3251,12359,1744
3252,12466,1747
3253,27323,1748
3254,12363,1749
357,159,1750
3255,12001,1750
3256,3367,1752
3257,20561,1753
3258,1149,1754
3259,475,1755
3260,23633,1756
3261,420,1757
3262,27538,1758
358,702,1759
3263,459,1759
359,2089,1761
3264,12135,1761
3265,5600,1763
3266,12196,1764
360,694,1765
3267,3029,1765
3268,16012,1767
3269,2378,1768
3270,3118,1769
3271,23296,1770
3272,15473,1771
3273,19961,1772
3274,27581,1773
3275,14801,1774
3276,24882,1775
3277,12360,1776
3278,2439,1777
3279,27375,1778
3280,29776,1779
3281,1126,1780
3282,20600,1781
3283,1896,1783
3284,1129,1784
3285,15631,1785
3286,23220,1786
3287,26653,1788
3288,308,1789
361,17808,1790
362,3480,1790
363,22219,1790
364,12083,1790
3289,3896,1790
3290,602,1795
3291,25424,1796
3292,12546,1797
365,2461,1798
3293,152,1798
3294,141,1800
3295,21241,1801
3296,270,1802
3297,29859,1803
3298,28695,1804
3299,175,1805
