"ID","SID","city","state"
257,18,"Pashchim Champaran","Bihar"
258,28,,"Chandigarh"
259,11,"Durg","Chhattisgarh"
260,11,"Janjgir-Champa","Chhattisgarh"
261,11,"Rajnandgaon","Chhattisgarh"
262,11,"Surguja","Chhattisgarh"
263,11,"Raipur","Chhattisgarh"
264,11,"Dantewada","Chhattisgarh"
265,11,"Durg","Chhattisgarh"
266,11,"Raipur","Chhattisgarh"
267,11,"Bastar","Chhattisgarh"
268,11,"Mahasamund","Chhattisgarh"
269,11,"Raipur","Chhattisgarh"
270,11,"Raipur","Chhattisgarh"
271,11,"Durg","Chhattisgarh"
272,11,"Bilaspur","Chhattisgarh"
273,11,"Dantewada","Chhattisgarh"
274,11,"Raipur","Chhattisgarh"
275,11,"Janjgir-Champa","Chhattisgarh"
276,11,"Koriya","Chhattisgarh"
277,11,"Dantewada","Chhattisgarh"
278,11,"Durg","Chhattisgarh"
279,11,"Dhamtari","Chhattisgarh"
280,11,"Korba","Chhattisgarh"
281,11,"Rajnandgaon","Chhattisgarh"
282,11,"Durg","Chhattisgarh"
283,11,"Raipur","Chhattisgarh"
284,11,"Bastar","Chhattisgarh"
285,11,"Janjgir-Champa","Chhattisgarh"
286,11,"Jashpur","Chhattisgarh"
287,11,"Kawardha","Chhattisgarh"
288,11,"Kanker","Chhattisgarh"
289,11,"Kawardha","Chhattisgarh"
290,11,"Kondagaon","Chhattisgarh"
291,11,"Korba","Chhattisgarh"
292,11,"Koriya","Chhattisgarh"
293,11,"Mahasamund","Chhattisgarh"
295,11,"Bilaspur","Chhattisgarh"
296,11,"Janjgir-Champa","Chhattisgarh"
297,11,"Kondagaon","Chhattisgarh"
298,11,"Raigarh","Chhattisgarh"
299,11,"Raipur","Chhattisgarh"
300,11,"Rajnandgaon","Chhattisgarh"
301,11,"Surguja","Chhattisgarh"
302,21,"Dadra and Nagar Haveli","Dadra and Nagar Haveli"
303,29,"Daman","Daman and Diu"
304,29,"Diu","Daman and Diu"
305,27,"Central Delhi","Delhi"
306,27,"East Delhi","Delhi"
307,27,,"Delhi"
308,27,,"Delhi"
309,27,,"Delhi"
310,27,"North Delhi","Delhi"
311,27,"North East Delhi","Delhi"
312,27,"North West Delhi","Delhi"
313,27,"South Delhi","Delhi"
314,27,"South West Delhi","Delhi"
315,27,"West Delhi","Delhi"
316,15,"North Goa","Goa"
317,15,"South Goa","Goa"
318,15,"North Goa","Goa"
319,15,,"Goa"
320,15,"North Goa","Goa"
321,15,,"Goa"
322,15,"South Goa","Goa"
323,15,"North Goa","Goa"
324,15,"North Goa","Goa"
325,15,"South Goa","Goa"
326,5,"Gandhinagar","Gujarat"
327,5,"Porbandar","Gujarat"
328,5,"Ahmedabad","Gujarat"
329,5,"Bhavnagar","Gujarat"
330,5,"Banaskantha","Gujarat"
331,5,"Mehsana","Gujarat"
332,5,"Amreli","Gujarat"
333,5,"Anand","Gujarat"
334,5,"Bharuch","Gujarat"
335,5,"Kutch","Gujarat"
336,5,"Anand","Gujarat"
337,5,"Bharuch","Gujarat"
338,5,"Amreli","Gujarat"
339,5,"Jamnagar","Gujarat"
340,5,"Valsad","Gujarat"
341,5,"Banaskantha","Gujarat"
342,5,"Bharuch","Gujarat"
343,5,"Bhavnagar","Gujarat"
344,5,"Kutch","Gujarat"
345,5,"Anand","Gujarat"
346,5,"Dahod","Gujarat"
347,5,"Dang","Gujarat"
348,5,"Banaskantha","Gujarat"
349,5,"Gandhinagar","Gujarat"
350,5,"Valsad","Gujarat"
351,5,"Ahmedabad","Gujarat"
352,5,"Jamnagar","Gujarat"
353,5,"Kutch","Gujarat"
354,5,"Gandhinagar","Gujarat"
355,5,"Panchmahal","Gujarat"
356,5,"Sabarkatha","Gujarat"
357,5,"Sabarkatha","Gujarat"
358,5,"Jamnagar","Gujarat"
359,5,"Junagadh","Gujarat"
