State,Constituency,Date Of Election,Candidate,Candidate ID,Party,Age,Sex,Category
MADHYA PRADESH,BALAGHAT,4/10/2014,Bodhsingh Bhagat,761,BJP,57,M,GEN
MADHYA PRADESH,BETUL,4/24/2014,Jyoti Dhurve,4752,BJP,47,F,ST
MADHYA PRADESH,BHIND,4/17/2014,Bhagirath Prasad,2898,BJP,66,M,SC
MADHYA PRADESH,BHOPAL,4/17/2014,Alok Sanjar,2907,BJP,50,M,GEN
MADHYA PRADESH,CHHINDWARA,4/10/2014,Kamal Nath,766,INC,67,M,GEN
MADHYA PRADESH,DAMOH,4/17/2014,Prahalad Singh Patel,2921,BJP,54,M,GEN
MADHYA PRADESH,DEWAS,4/24/2014,Manohar Untwal,4178,BJP,47,M,SC
MADHYA PRADESH,DHAR,4/24/2014,Savitri Thakur,4183,BJP,35,F,ST
MADHYA PRADESH,GUNA,4/17/2014,Jyotiraditya M. Scindia,2933,INC,43,M,GEN
MADHYA PRADESH,GWALIOR,4/17/2014,Narendra Singh Tomar,2957,BJP,56,M,GEN
MADHYA PRADESH,HOSHANGABAD,4/10/2014,Uday Pratap Singh,134,BJP,49,M,GEN
MADHYA PRADESH,INDORE,4/24/2014,Sumitra Mahajan,4765,BJP,70,F,GEN
MADHYA PRADESH,JABALPUR,4/10/2014,Rakesh Singh Urf Ghanshyam Singh,750,BJP,53,M,GEN
MADHYA PRADESH,KHAJURAHO,4/17/2014,Nagendra Singh,2962,BJP,72,M,GEN
MADHYA PRADESH,KHANDWA,4/24/2014,Nandkumar Singh Chouhan,4194,BJP,61,M,GEN
MADHYA PRADESH,KHARGONE,4/24/2014,Subhash Patel,4200,BJP,36,M,ST
MADHYA PRADESH,MANDLA,4/10/2014,Faggan Singh Kulaste,129,BJP,54,M,ST
MADHYA PRADESH,MANDSOUR,4/24/2014,Sudhir Gupta,4203,BJP,54,M,GEN
MADHYA PRADESH,MORENA,4/17/2014,Anoop Mishra,2983,BJP,57,M,GEN
MADHYA PRADESH,RAJGARH,4/17/2014,Rodmal Nagar,2993,BJP,53,M,GEN
MADHYA PRADESH,RATLAM,4/24/2014,Dileep Singh Bhuriya,4805,BJP,68,M,ST
MADHYA PRADESH,REWA,4/10/2014,Janardan Mishra,738,BJP,58,M,GEN
MADHYA PRADESH,SAGAR,4/17/2014,Laxmi Narayan Yadav,3001,BJP,73,M,GEN
MADHYA PRADESH,SATNA,4/10/2014,Ganesh Singh,732,BJP,51,M,GEN
MADHYA PRADESH,SHAHDOL,4/10/2014,Dalpat Singh Paraste,745,BJP,61,M,ST
MADHYA PRADESH,SIDHI,4/10/2014,Riti Pathak,741,BJP,36,F,GEN
MADHYA PRADESH,TIKAMGARH,4/17/2014,Dr. Virendra Kumar,3011,BJP,60,M,SC
MADHYA PRADESH,UJJAIN,4/24/2014,Chintamani Malviya,4209,BJP,44,M,SC
MADHYA PRADESH,VIDISHA,4/24/2014,Sushma Swaraj,4818,BJP,62,F,GEN
MAHARASHTRA,AHMEDNAGAR,4/17/2014,Gandhi Dilipkumar Mansukhlal,3492,BJP,64,M,GEN
MAHARASHTRA,AKOLA,4/10/2014,Dhotre Sanjay Shyamrao,543,BJP,55,M,GEN
MAHARASHTRA,AMRAVATI,4/10/2014,Adsul Anandrao Vithoba,315,SHS,66,M,SC
MAHARASHTRA,AURANGABAD,4/24/2014,Chandrakant Bhaurao Khaire,5156,SHS,62,M,GEN
