"ID","state","city","SID"
235,"Bihar","Motipur",18
236,"Bihar","Munger",18
237,"Bihar","Murliganj",18
238,"Bihar","Muzaffarpur",18
239,"Bihar","Nalanda",18
240,"Bihar","Narkatiaganj",18
241,"Bihar","Naugachhia",18
242,"Bihar","Nawada",18
243,"Bihar","Nokha",18
244,"Bihar","Patna",18
245,"Bihar","Piro",18
246,"Bihar","Purnia",18
247,"Bihar","Rohtas",18
248,"Bihar","Saharsa",18
249,"Bihar","Samastipur",18
250,"Bihar","Saran",18
251,"Bihar","Sheikhpura",18
252,"Bihar","Sheohar",18
253,"Bihar","Sitamarhi",18
254,"Bihar","Siwan",18
255,"Bihar","Supaul",18
256,"Bihar","Vaishali",18
257,"Bihar","West Champaran",18
258,"Chandigarh","Chandigarh",28
259,"Chhattisgarh","Ahiwara",11
260,"Chhattisgarh","Akaltara",11
261,"Chhattisgarh","Ambagarh Chowki",11
262,"Chhattisgarh","Ambikapur",11
263,"Chhattisgarh","Arang",11
264,"Chhattisgarh","Bade Bacheli",11
265,"Chhattisgarh","Balod",11
266,"Chhattisgarh","Baloda Bazar",11
267,"Chhattisgarh","Bastar",11
268,"Chhattisgarh","Basna",11
269,"Chhattisgarh","Bemetra",11
270,"Chhattisgarh","Bhatapara",11
271,"Chhattisgarh","Bhilai",11
272,"Chhattisgarh","Bilaspur",11
273,"Chhattisgarh","Bijapur",11
274,"Chhattisgarh","Birgaon",11
275,"Chhattisgarh","Champa",11
276,"Chhattisgarh","Chirmiri",11
277,"Chhattisgarh","Dantewada",11
278,"Chhattisgarh","Dalli-Rajhara",11
279,"Chhattisgarh","Dhamtari",11
280,"Chhattisgarh","Dipka",11
281,"Chhattisgarh","Dongargarh",11
282,"Chhattisgarh","Durg-Bhilai Nagar",11
283,"Chhattisgarh","Gobranawapara",11
284,"Chhattisgarh","Jagdalpur",11
285,"Chhattisgarh","Janjgir",11
286,"Chhattisgarh","Jashpurnagar",11
287,"Chhattisgarh","Kabirdham",11
288,"Chhattisgarh","Kanker",11
289,"Chhattisgarh","Kawardha",11
290,"Chhattisgarh","Kondagaon",11
291,"Chhattisgarh","Korba",11
292,"Chhattisgarh","Koriya",11
293,"Chhattisgarh","Mahasamund",11
294,"Chhattisgarh","Mahendragarh",11
295,"Chhattisgarh","Mungeli",11
296,"Chhattisgarh","Naila Janjgir",11
297,"Chhattisgarh","Narayanpur",11
298,"Chhattisgarh","Raigarh",11
299,"Chhattisgarh","Raipur",11
300,"Chhattisgarh","Rajnandgaon",11
301,"Chhattisgarh","Surguja",11
302,"Dadra and Nagar Haveli","Amli",21
303,"Daman and Diu","Daman",29
304,"Daman and Diu","Diu",29
305,"Delhi","Central Delhi",27
306,"Delhi","East Delhi",27
307,"Delhi","New Delhi",27
308,"Delhi","New Delhi Central",27
309,"Delhi","New Delhi South",27
310,"Delhi","North Delhi",27
311,"Delhi","North East Delhi",27
312,"Delhi","North West Delhi",27
313,"Delhi","South Delhi",27
314,"Delhi","South West Delhi",27
315,"Delhi","West Delhi",27
316,"Goa","Aldona",15
317,"Goa","Curchorem Cacora",15
318,"Goa","Goa Velha",15
319,"Goa","Madgaon",15
320,"Goa","Mapusa",15
321,"Goa","Margao",15
322,"Goa","Marmagao",15
323,"Goa","North Goa",15
324,"Goa","Panaji",15
325,"Goa","South Goa",15
326,"Gujarat","Adalaj",5
327,"Gujarat","Adityana",5
328,"Gujarat","Ahmedabad",5
329,"Gujarat","Alang",5
330,"Gujarat","Ambaji",5
331,"Gujarat","Ambaliyasan",5
332,"Gujarat","Amreli",5
333,"Gujarat","Anand",5
334,"Gujarat","Andada",5
335,"Gujarat","Anjar",5
336,"Gujarat","Anklav",5
337,"Gujarat","Ankleshwar",5
338,"Gujarat","Antaliya",5
339,"Gujarat","Arambhada",5
340,"Gujarat","Atul",5
341,"Gujarat","Banaskantha",5
342,"Gujarat","Bharuch",5
343,"Gujarat","Bhavnagar",5
344,"Gujarat","Bhuj",5
345,"Gujarat","Cambay",5
346,"Gujarat","Dahod",5
347,"Gujarat","Dang",5
348,"Gujarat","Deesa",5
349,"Gujarat","Dehgam",5
350,"Gujarat","Dharampur",5
351,"Gujarat","Dholka",5
352,"Gujarat","Dwarka",5
353,"Gujarat","Gandhidham",5
354,"Gujarat","Gandhinagar",5
355,"Gujarat","Godhra",5
356,"Gujarat","Himatnagar",5
357,"Gujarat","Idar",5
358,"Gujarat","Jamnagar",5
359,"Gujarat","Junagadh",5
360,"Gujarat","Kachchh",5
361,"Gujarat","Kadi",5
362,"Gujarat","Kalavad",5
363,"Gujarat","Kalol",5
364,"Gujarat","Kapadvanj",5
365,"Gujarat","Karjan",5
366,"Gujarat","Keshod",5
367,"Gujarat","Khambhalia",5
368,"Gujarat","Khambhat",5
369,"Gujarat","Kheda",5
370,"Gujarat","Khedbrahma",5
371,"Gujarat","Kheralu",5
372,"Gujarat","Kodinar",5
373,"Gujarat","Lathi",5
374,"Gujarat","Limbdi",5
375,"Gujarat","Lunawada",5
376,"Gujarat","Mahesana",5
377,"Gujarat","Mahuva",5
378,"Gujarat","Manavadar",5
379,"Gujarat","Mandvi",5
380,"Gujarat","Mangrol",5
381,"Gujarat","Mansa",5
382,"Gujarat","Mehmedabad",5
383,"Gujarat","Mithapur",5
384,"Gujarat","Modasa",5
385,"Gujarat","Morvi",5
386,"Gujarat","Nadiad",5
387,"Gujarat","Narmada",5
388,"Gujarat","Navsari",5
389,"Gujarat","Padra",5
390,"Gujarat","Palanpur",5
391,"Gujarat","Palitana",5
392,"Gujarat","Panchmahal",5
393,"Gujarat","Pardi",5
394,"Gujarat","Patan",5
395,"Gujarat","Petlad",5
396,"Gujarat","Porbandar",5
397,"Gujarat","Rajkot",5
398,"Gujarat","Sabarkantha",5
399,"Gujarat","Surat",5
400,"Gujarat","Surendranagar",5
401,"Gujarat","Tapi",5
402,"Gujarat","Vadodara",5
403,"Gujarat","Valsad",5
404,"Haryana","Ambala",25
405,"Haryana","Asankhurd",25
406,"Haryana","Assandh",25
407,"Haryana","Ateli",25
408,"Haryana","Babiyal",25
409,"Haryana","Bahadurgarh",25
410,"Haryana","Ballabhgarh",25
411,"Haryana","Barwala",25
412,"Haryana","Bawal",25
413,"Haryana","Bhiwani",25
414,"Haryana","Charkhi Dadri",25
415,"Haryana","Cheeka",25
416,"Haryana","Ellenabad",25
417,"Haryana","Faridabad",25
418,"Haryana","Fatehabad",25
419,"Haryana","Ganaur",25
420,"Haryana","Gharaunda",25
