Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Chinna Pillappa.P,0,Post Graduate,7062,DMK,152477730,430835,372
Gandhi.Tvs,0,Graduate,7069,IND,35033,0,372
Gowda.Nsm,0,Graduate,7064,JD(S),682247,0,372
Mani.G.K,11,Graduate,7066,PMK,4704309,0,372
Muniraj.K,0,5th Pass,7067,Ulzaipali Makkal Katchy,172000,0,372
Pattabirama.C,0,12th Pass,7072,IND,3993522,0,372
Saravanan.V,0,10th Pass,7070,IND,6166935,1950000,372
Soundarajan.M,0,10th Pass,7071,IND,1608000,0,372
Sundaram.S,0,10th Pass,7065,United Communist Party of India,184000,78000,372
Vinothkumar.P,0,12th Pass,7074,IND,478000,0,372
Virginiya Benatin Franciles,0,8th Pass,7073,IND,2545000,900000,372
Ashok Kundu,0,Doctorate,9794,Party for Democratic Socialism,7836368,515000,506
Asim Kumar Dasgupta,0,Doctorate,9358,CPI(M),7216237,0,506
Dhananjoy Moitra,2,Graduate,9357,INC,6506000,150000,506
Narendra Nath Ghosh,0,Graduate,9359,BSP,7112926,0,506
Satyabrata Bandyopadhyay,0,Post Graduate,9795,Rashtriya Janadhikar Suraksha Party,3574024,10000,506
Saugata Roy,0,Post Graduate,9356,AITC,19452011,2500000,506
Sikha Sen Roy,0,Graduate,9360,CPI(ML) Red star,502500,0,506
Tapan Sikdar,0,Graduate,9361,BJP,5908115,0,506
Ashok Pradhan,2,Graduate Professional,3338,CPI(ML)L,2006000,300000,319
Ashok Sahu,1,Post Graduate,3340,BJP,55639509,0,319
Bhaskar Chandra Mohanty,0,Graduate Professional,3714,BSP,8215000,0,319
Nirada Barana Khuntia,0,Not Given,3339,AAP,5004386,0,319
Pinaki Mishra,0,Graduate Professional,3715,BJD,1370991203,19975839,319
Sabyasachi Mohapatra,0,Graduate Professional,3336,Kalinga Sena,484637,21840,319
Sucharita Mohanty,0,Post Graduate,3337,INC,36546329,59551,319
Ashok Ram,0,10th Pass,1259,IND,3099116,0,171
Ghuran Ram,3,Graduate,485,JVM(P),14586699,1046647,171
Jorawar Ram,2,12th Pass,1260,JD(U),16525000,205000,171
Kameshwar Baitha,48,10th Pass,487,AITC,1808000,0,171
Laldev Ram,0,12th Pass,1258,Bahujan Mukti Party,7293888,0,171
Manoj Kumar,1,Graduate,1261,RJD,8357000,2350000,171
Rambadan Ram,0,Post Graduate,1264,SP,2450000,800000,171
Rampati Ranjan,0,Graduate,486,BSP,4445000,0,171
Ravindra Kumar Ravi,0,12th Pass,1266,IND,200000,0,171
Shyam Lal Ram,0,Graduate,1262,IND,31205,0,171
Sushma Mehta,6,12th Pass,489,CPI(ML)L,2305547,651713,171
Vinod Ram,0,12th Pass,1263,IND,1526001,0,171
Vishnu Dayal Ram,0,Graduate,488,BJP,24753886,0,171
Ashok Ram,0,12th Pass,2646,IND,71051,0,92
