state,name,candidate id,party,uuid
HARYANA,Charanjeet Singh,1056,INLD,133
HARYANA,Ramesh Kaushik,91,BJP,134
HIMACHAL PRADESH,Anurag Singh Thakur,7997,BJP,135
HIMACHAL PRADESH,Shanta Kumar,8469,BJP,136
HIMACHAL PRADESH,Ram Swaroop Sharma,8353,BJP,137
HIMACHAL PRADESH,Virender Kashyap,8307,BJP,138
JAMMU & KASHMIR,Mehbooba Mufti,4146,JKPDP,139
JAMMU & KASHMIR,Muzaffar Hussain Baig,8467,JKPDP,140
JAMMU & KASHMIR,Jugal Kishore,881,BJP,141
JAMMU & KASHMIR,Thupstan Chhewang,8304,BJP,142
JAMMU & KASHMIR,Tariq Hameed Karra,6815,JKPDP,143
JAMMU & KASHMIR,Dr. Jitendra Singh,2778,BJP,144
JHARKHAND,Sunil Kumar Singh,1230,BJP,145
JHARKHAND,Pashupati Nath Singh,4701,BJP,146
JHARKHAND,Shibu Soren,4160,JMM,147
JHARKHAND,Ravindra Kumar Pandey,2814,BJP,148
JHARKHAND,Nishikant Dubey,4164,BJP,149
JHARKHAND,Jayant Sinha,2835,BJP,150
JHARKHAND,Karia Munda,2863,BJP,151
JHARKHAND,Ravindra Kumar Ray,47,BJP,152
JHARKHAND,Sudarshan Bhagat,481,BJP,153
JHARKHAND,Vishnu Dayal Ram,488,BJP,154
JHARKHAND,Vijay Kumar Hansdak,4170,JMM,155
JHARKHAND,Ramtahal Choudhary,2875,BJP,156
JHARKHAND,Laxman Giluwa,2887,BJP,157
KARNATAKA,P.C. Gaddigoudar,1218,BJP,158
KARNATAKA,P.C. Mohan,187,BJP,159
KARNATAKA,D.V. Sadananda Gowda,1224,BJP,160
KARNATAKA,D.K.Suresh,1090,INC,161
KARNATAKA,Ananth Kumar,189,BJP,162
KARNATAKA,Suresh Angadi,1181,BJP,163
KARNATAKA,B Sreeramulu,2162,BJP,164
KARNATAKA,Bhagwanth,2141,BJP,165
KARNATAKA,Ramesh Jigajinagi,840,BJP,166
KARNATAKA,R. Dhruvanarayana,863,INC,167
KARNATAKA,M Veerappa Moily,402,INC,168
