uuid,did,cid,name,cname,designation
670,121,2338,A K Mehra,Mawana Sugars Ltd,Whole-time Director
671,122,4926,A K Mehta,Era Infra Engineering Ltd,Director
672,123,22221,A K Mirchandani,PEC Ltd,Chairman & Managing Director
673,124,5671,A K Misra,Tata Projects Ltd,Whole-time Director
674,125,2295,A K Mittal,Tata Communications Ltd,Director (Non-Retiring)
675,126,111,A K Mukherjee,Exide Industries Ltd,Director (Finance) & CFO
676,127,5423,A K Mukherjee,Indian Iron & Steel Company Ltd,Company Secretary
677,128,16996,A K Nair,Strides Arcolab Ltd,Director
678,129,19611,A K Nair,V-Guard Industries Ltd,Director
679,130,22071,A K Nanda,Mahindra Intertrade Ltd,Director
680,131,365,A K Nanda,Mahindra & Mahindra Ltd,Director
681,132,2299,A K Pandey,Steel Authority of India Ltd,Executive Director
682,133,57,A K Perumalsamy,Bannari Amman Sugars Ltd,Director
683,134,13369,A K Purwaha,Mahanagar Gas Ltd,Director
684,135,23296,A K Purwar,India Infoline Ltd,Director
685,136,27206,A K Purwar,Reliance Communications Ltd,Director
686,137,23,A K Purwar,Apollo Tyres Ltd,Director
687,138,12029,A K Purwar,Engineers India Ltd,Director(Parttime Non-officia)
688,139,62,A K R Nedungadi,Bayer CropScience Ltd,Director
689,140,256,A K R Nedungadi,Sanofi India Ltd,Director
690,141,1119,A K Rao,Pennar Industries Ltd,Director
691,142,12001,A K Rastogi,NTPC Ltd,Company Secretary
692,143,12001,A K Rastogi,NTPC Ltd,Company Secretary
693,144,12019,A K Rath,Coal India Ltd,Independent Director
694,145,2496,A K Rath,Mangalore Refinery And Petrochemicals Ltd,Director
695,146,14252,A K Ratwani,Engineering Projects (India) Ltd,Director (Projects)
696,147,23220,A K Ravi Nedungadi,United Breweries Ltd,Director
697,148,23220,A K Ravi Nedungadi,United Breweries Ltd,Director
698,149,27271,A K Ravi Nedungadi,Kingfisher Airlines Ltd,Director
699,150,4335,A K Roy,Lloyd Electric & Engineering Ltd,Whole-time Director
700,151,15293,A K Sahoo,Jaiprakash Associates Ltd,Nominee (LIC)
701,152,15293,A K Sahoo,Jaiprakash Associates Ltd,Nominee (LIC)
702,153,24268,A K Sanwalka,Rites Ltd,Director
703,154,2324,A K Sarmah,Bongaigaon Refinery & Petrochemicals Ltd(merged),Managing Director
704,155,28443,A K Shah,Parle Biscuits Pvt Ltd,Director
705,156,23257,A K Singh,Uttar Haryana Bijli Vitran Nigam Ltd,Managing Director
706,157,13166,A K Singh,National Buildings Construction Corporation Ltd,Company Secretary
707,158,12001,A K Singhal,NTPC Ltd,Director (Finance)
708,159,12001,A K Singhal,NTPC Ltd,Director (Finance)
709,160,12328,A K Sinha,Eastern Coalfields Ltd,Director (Finance)
710,161,12019,A K Sinha,Coal India Ltd,Director (Finance)
711,162,1076,A K Somani,Usha Martin Ltd,CFO & Company Secretary
712,163,2304,A K Srivastava,National Aluminium Company Ltd,Chairman & Managing Director
713,164,26485,A K Srivastava,Mother Dairy Food Processing Ltd,Director
714,165,24585,A K Srivastava,Navin Fluorine International Limited,Director (Finance)
715,166,23753,A K Sureka,Mauria Udyog Ltd,Director
